State,Participant Name,Institution,Collection,Project Title,Link,Years Covered,Year of Interview,Project Overview
Arkansas,Vivion Brewer,Central Arkansas ,Butler Center for Arkansas Studies ,"Brewer, Vivion oral history",https://arstudies.contentdm.oclc.org/digital/collection/p1532coll1/id/13210/rec/4,N/A,1978,Describe her work to help the African-American community in Scott (Ark.)
Arkansas,Robbie Dell Robinson,Univeristy of Central Arkansas,Oral Histories: Delta Project,Interviewee: Robbie Dell Robinson,https://uca.edu/archives/delta-project-history/,N/A,1995,Life story of Robbie Dell Robinson focusing on teaching and civil rights. Robinson tells of the lives of her and her children and how the Civil Rights Movement affected them in the 1960’s and 1970’s. Robinson tells of the events of this time period from her perspective as a teacher.
Arkansas ,Robert Carter ,National Park Service ,Brown v. Board of Education National Historical Park,Oral History Interview with Robert Carter,https://www.nps.gov/articles/000/oral-history-interview-with-robert-carter.htm,1940-1960,2001,"Brown v. Board Oral History Collection, Supreme Court case interviews. Interviewee: Judge Carter; Interviewer: [unintelligible 00:21] with the National Park Service. Interview conducted in the chambers of Judge Carter in Manhattan, New York, on August 7, 2001. These interviews are made possible through the Brown v. Board Oral History Research Project funded by the National Park Service for the Summer of 2001 as part of the Brown v. Board of Education National Historic Site Oral History Project."
California,Shirley Hasley,Mill Valley Public Library,,Oral History of Shirley Hasley,https://search.worldcat.org/title/The-HistoryMakers-video-oral-history-with-Shirley-Kinsey/oclc/1000519340,1960s,2007,"In this oral history interview, beloved elementary school teacher Shirley Hasley discusses not only her 38-year career in Mill Valley, but the people, experiences and attitudes that helped shape her steadfast convictions."
California,Alonso Radford,"University of California, Berkeley",Regional Oral History Office,"Pioneer black teacher at Albany High School : oral history transcript / 1982. / Alonso Radford ; tape recorded interview conducted by Catherine J. Webb in 1982,","https://search.library.berkeley.edu/discovery/fulldisplay?docid=alma991043351869706532&context=L&vid=01UCS_BER:UCB&lang=en&search_scope=MyInstitution&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,26650064&offset=0",N/A,1982,Pioneer black teacher at Albany High School
California,Ida Louise Jackson,"University of California, Berkeley",The University of California Black Alumni Series,"Ida Louise Jackson
Overcoming Barriers in Education",https://oac.cdlib.org/view?docId=hb138nb0z7&brand=calisphere&doc.view=entire_text,1920s-1970s,1990,"Jackson's experiences of an African American student at the University of California, 1918-1923, founding of Alpha Kappa Alpha sorority; teaching in Oakland and El Centro, California; doctoral studies, Columbia University; dean of women, Tuskegee Institute; establishing summer teaching and health institutes in Mississippi; racial discrimination at the UC Berkeley and elsewhere; other family and community recollections."
California,Shirley Kinsey,The History Makers,Education Makers ,Shirley Kinsey,https://endeavor.flo.org/vwebv/search?searchCode1=GKEY&searchType=2&argType1=any&searchArg1=1000519340,1960s-2000s,2016,"This life oral history interview with Shirley Kinsey was conducted by Larry Crowe on December 18, 2013, in Pacific Palisades, California, and was recorded on 7 uncompressed MOV digital video files. Art collector, educator, and Shirley Kinsey (1946 - ) and her husband, Bernard Kinsey, were the owners and curators of an extensive collection of African American art, books and manuscripts. She co authored The Kinsey Collection: Shared Treasures of Bernard and Shirley Kinsey, which was a companion book to the exhibit of the same name."
California,Jean Ficklin,Biblioboard,,Jean Ficklin: An Oral History,https://library.biblioboard.com/anthology/d3dc0a1b-da2a-43a5-b3c8-bcdce8a03cf7/content/masonry/all-content,1960s,2021,https://library.biblioboard.com/anthology/d3dc0a1b-da2a-43a5-b3c8-bcdce8a03cf7/content/masonry/all-content
California,Jewelle Taylor Gibbs,"University of California, Berkeley",Regional Oral History Office,AN ORAL HISTORY WITH JEWELLE TAYLOR GIBBS,https://digitalassets.lib.berkeley.edu/roho/ucb/text/taylor_gibbs_jewelle.pdf,1940s-1990,2005,"Jewelle Taylor Gibbs started as assistant professor at the University of California School of Social Welfare in 1979, became an associate professor in 1983, a full professor in 1986, and was appointed to the endowed chair as Zellerbach Family Fund Professor of Social Policy, Community Change and Practice in 1993, a position she held until her retirement in 2000. During these years Professor Gibbs wrote influential articles and books on a wide range of topics including minority mental health, young black men in America, and the O.J. Simpson and Rodney King cases; she was a visiting scholar in the United States and abroad; and she mentored a generation of students and faculty. She received the highest academic honor at the University of California, the Berkeley Citation, and testified before Congress. Professor Gibbs had returned to graduate school when her sons were in high school; her life has followed a trajectory instructive and inspirational for women who raise their families and occupy careers which impact the public sphere in significant ways."
California,Ruth Acty,Berkeley Historical Society, OH--Acty,"Ruth Acty, first African American teacher in the Berkeley Unified School District : oral history transcript",https://oac.cdlib.org/findaid/ark:/13030/c82n56zm/entire_text/,N/A,1994,"Educator, author, and actor Ruth Acty (1913-1998) was the first African American teacher hired by the Berkeley Unified School District in 1943. Born Oakland, California in 1913 to John and Gussie (née Stokes) Acty, she was raised in West Oakland and graduated from McClymonds High School before earning an A.B. in English from San Francisco State College in 1937. After taking classes in early childhood development and speech at the University of California, Berkeley, she attended Northwestern University earning a M.A. in Theater in 1941."
California,Norma Norman,"University of Nevada, Las Vegas",Public School Principalship Oral History Project,Norma Norman oral history interview (OH-01393),https://special.library.unlv.edu/ark%3A/62930/f1277s,N/A,2004,"Oral history interview with Norma Norman conducted by Dorthy Richardson-Martin on November 30, 2004 for the Public School Principalship Oral History Project. In this interview, Norman reflects upon her experience as an elementary school administrator in California’s Hayward Unified School District. She discusses her experience as a female African American teacher in the 1960s and 1970s, and how those experiences shaped her approach to school administration. She also discusses school district programs and policies, and how such programs impact different populations of students."
Colorado,Marie Louise Greenwood,The History Makers,Education Makers,Marie Louise Greenwood,https://www.thehistorymakers.org/biography/frances-hooks-41,1930s-2000,2016,"After receiving her letter of assignment to teach at Whittier Elementary School in 1935, Greenwood became one of the first African American school teachers in Denver."
Colorado ,De Laris Carpenter,Boulder Public Library,Carnegie Library for Local History-- Oral History Collection,"Transcript: Oral history interview with De Laris Carpenter, 2001",https://localhistory.boulderlibrary.org/islandora/object/islandora%3A24507,1936-2001,2001,"De Laris Carpenter talks about her upbringing in Mississippi; her life in 
Boulder; her career as a teacher, counselor, and administrator; and the role of family in 
her life, addressing both her own childhood and her role as a parent. Throughout the 
interview, she discusses the African American community and interactions of the white 
and African American communities, including discussion of racism in Boulder, at the 
University of Colorado-Boulder, and in the Boulder Valley Schools"
Delaware,Littleton Mitchell,The History Makers,Education Matters,"The HistoryMakers® Video Oral History Interview with Littleton Mitchell,",https://www.thehistorymakers.org/sites/default/files/A2005_267_Mitchell_Littleton_EAD.pdf,N/A,N/A,"Association branch executive, civil rights activist, and Tuskegee Airman Littleton Purnell Mitchell was born in the 1920s in Milford, Delaware, to Helen Ann Purnell and George Darnell Mitchell. His advocacy began at age thirteen, when he joined the National Association for the Advancement of Colored People (NAACP). During the late 1930s, he attended Howard High School, the state’s only high school for African Americans. Upon graduation, he spent two years at West Chester University of Pennsylvania on a track scholarship before joining the Tuskegee Airmen during War World II. While he was there, he witnessed the building of the airfield at Tuskegee in 1941. He taught future pilots the art of instrument flying. His duties sent him to the Link Trainer Facilities and Schools in New York, and Chanute Field in Chanute, Illinois, as well as the Base Instrument Command Flying School in Texas. In February 1946, he was discharged from the U.S. Army. Encouraged by his fellow Tuskegee Airmen, Mitchell returned to college, and earned his degree from West Chester University of Pennsylvania and began a career in the psychiatric treatment of children and civil rights advocacy.
Mitchell led the Delaware State Branches of the NAACP as president for over thirty years until 1991. During his years there, he led their efforts to secure fair housing, equal access to public accommodations, and equal education and employment opportunities for Delaware’s African American community. He became the first African American teacher of white children at Governor Bacon Health Center in Delaware City. He retired from teaching in 1984. His wife, Jane Mitchell, now deceased, became one of Delaware’s first African American nurses. For many years, she served as the director of nursing at the Delaware State Hospital and along with her husband led efforts to desegregate the state’s hospitals.
file:///C|/Users/dj/Desktop/New%20folder%20(2)/EAD/A2005_267_Mitchell_Littleton_EAD.html[4/26/2012 4:38:03 PM]
Finding Aid to The HistoryMakers® Video Oral History with Littleton Mitchell
Mitchell served on the Delaware Humanities Council from 1991 to 1997. In 1993, the University of Delaware awarded Mitchell its Medal of Merit for sustained community service. He was also awarded the Delaware Bar Association’s 2004 Liberty Bell Award for community service. For the Brown v. Board of Education 50th Anniversary Commission, he served as a presidential appointee representing Delaware.
Mitchell resided in Delaware City, Delaware, with his family until his death on July 6, 2009. Littleton Purnell Mitchell was interview by the HistoryMakers on December 19, 2005."
Delaware,Dr. Joseph E. Johnson,Delaware Historical Society Research Libary,Voices of the Elders: Stories of African Americans in Delaware,Dr. Joseph E. Johnson,https://www.youtube.com/watch?v=9bEL-UYedHc,1950s-1990s,2015,"A project of the Delaware Historical Society’s Center for African American Heritage, the Wilmington City Council and WITN-TV 22, the Voices of the Elders documents African-American leaders in Delaware. 

Throughout 2015, a new figure will be highlighted in a documentary to be screened at the Society. February’s film will feature the life and career of Dr. Joseph E. Johnson with the film Dr. Joseph Johnson: African American Educator. Future interview subjects will include Dr. Lozelle Deluz, Canon Lloyd S. Casson, James Gilliam, Sr., George Wright, Jr. and Esthelda Parker Selby.
Dr. Johnson’s career in public school administration began at Warner Junior High School in Wilmington. In 1968, he became principal of P.S. DuPont High School—the first African-American principal of a non-segregated institution. He was the last superintendent of the Wilmington Public Schools and then the first superintendent of the Red Clay School District, where he remained until his retirement in 1990.

As a school administrator, Dr. Johnson advocated for equal access to quality education for all students during the desegregation of Delaware’s public schools. He consulted on the Evans vs. Buchanan case as well subsequent federal efforts to desegregate public schools. He worked closely with civil rights lawyer Louis L. Redding and Judge Leonard Williams to address issues of educational disparity in Delaware.

In addition to his civil rights work in the educational system, Dr. Johnson has been an invaluable part of Wilmington’s community. He has served on the boards of the Walnut Street YMCA, the Delaware Historical Society and the Delaware Humanities Council. Currently, Dr. Johnson is president of the Redding House Foundation, which aims to preserve and continue Louis L. Redding’s legacy. In 2014, Dr. Johnson was honored with the Delaware Barristers’ Association’s “Excellence in Education Award.” He is also an active member of the Episcopal Church of Saints Andrew and Matthew."
Delaware,Esthelda Parker-Shelby,Delaware Historical Society Research Libary,Voices of the Elders: Stories of African Americans in Delaware,Dr. Joseph E. Johnson,https://www.youtube.com/watch?time_continue=175&v=3FVI_ROLzng&embeds_referring_euri=https%3A%2F%2Fdehistory.org%2F&source_ve_path=Mjg2NjY&feature=emb_logo,N/A,2015,"Esthelda Parker-Selby's educational leadership and political career with the film Esthelda ""Stell"" Parker Selby: Educator and Politician."
Florida,Camilla Thompson (1922-2022),The History Makers,"ScienceMakers
CivicMakers",CAMILLA THOMPSON,https://www.thehistorymakers.org/biography/camilla-thompson-41,1925-1960s,2006,"Educator and newspaper columnist Camilla Bolton Perkins Thompson was born on March 6, 1922 in Jacksonville, Florida. Thompson taught chemistry, physics and math at four Jacksonville junior and senior high schools."
Florida,"Bethune, Mary McLeod (1875-1955)",Bethel University ,Black Americans of achievement video collection II.,,"https://libsearch.bethel.edu/discovery/fulldisplay?vid=01CLIC_BETHEL:BETHEL&search_scope=CLIC_and_BETHEL_ALL_Profile&tab=CLIC_and_BETHEL_ALL_Slot&docid=alma991002092299703686&lang=en&context=L&adaptor=Local%20Search%20Engine&query=sub,exact,United%20States%20--%20Race%20relations,AND&mode=advanced",Varies,1994,Chronicles the life of educator Mary McLeod Bethune.
Florida,Ollie M. Taylor,The History Makers/Howard University,Education Makers,OLLIE TAYLOR,https://www.thehistorymakers.org/biography/ollie-taylor,1960s-1980s,2016,"In 1964, Taylor worked as a file clerk for Spiegel in Chicago and obtained her A.A. degree from Kennedy King College in Chicago. In 1975, she began her career as an Elementary School teacher for the Chicago Board of Education."
Florida,Ceclia Watson,Univeristy of Florida ,UF Samuel Proctor Oral History Program,Interview with Cecelia Watson and Eddie Salters,https://original-ufdc.uflib.ufl.edu/AA00064809/00001/citation,N/A,2018,"In this interview, interviewer Julian Valdivia sits down with Eddie Salters and Cecelia Watson, two longtime African American residents of Fort Myers. Salters recalls that he moved to Fort Myers to finish his schooling at Dunbar, while Watson became involved in the community through her sorority, Sigma Gamma Rho, American Legion, church, and the Dunbar School. They both recalls spending recreational time at Bunche Beach, an area designated for use by African Americans under Jim Crow. Watson went on to attend South Carolina Allen University, where she earned a degree in elementary education. She went on to become the first Black teacher at Elba Elementary in Alabama. The two also discuss local efforts to organize against integration, pointing to Friendship Baptist Church as the primary organizer of the local Black community in Fort Myers. They recall supporting local politician Veronica Shoemaker on her successful effort to win election to the city council. Her success was significant because it came in spite of considerable barriers to Black political participation imposed around elections such as limited voting locations and times. They then recount the horrific lynching of a young Black boy accused of the rape of a White girl and its psychological impact on the local Black community. They conclude with a discussion of the various means employed by White Supremacists to justify brutal acts of violence against African Americans."
Florida,Doretha Smith,Univeristy of Florida,SAMUEL PROCTOR ORAL HISTORY PROGRAM: JOEL BUCHANAN ARCHIVE OF AFRICAN AMERICAN ORAL HISTORY, INTERVIEW WITH DORETHA SMITH 2018-2-15,https://ufdc.ufl.edu/AA00081073/00001/citation,N/A,2018,"In this interview, Ms. Doretha James Smith describes her experiences growing up in St. Augustine, Florida, working as a teacher within the community, and later as a church leader focused on curbing student homelessness. She discusses the importance and impacts of education, as well as the history of the local Black community in the region, including her own family history. She also mentions the Kids’ Safe Zone, an afterschool program organized by the American Legion, and her work with local churches and their efforts to help children in the community. With the knowledge from her experience, Ms. Smith provides insight into how society has changed over time, as well as her hopes and plans to help make a better future."
Florida,Dorothye G. Smith,Univeristy of Florida,SAMUEL PROCTOR ORAL HISTORY PROGRAM: JOEL BUCHANAN ARCHIVE OF AFRICAN AMERICAN ORAL HISTORY, INTERVIEW WITH DOROTHYE G. SMITH 2015-08-10,https://ufdc.ufl.edu/AA00084522/00001/citation,N/A,2015,"Ms. Smith begins by describing Newtown, Florida as it appeared to her when she moved to become a teacher. She explains her experience teaching and how Newtown compared to the rest of Sarasota. Specifically, she speaks about the differences between the Black and White communities in the services and resources they received. She then explains her experience as one of the first Black teachers to integrate into a White school and the challenging and rewarding aspects of that experience. After speaking about her promotion to principal, Ms. Smith recounts how she met her husband in Sarasota. The interview concludes with her hopes for Newtown in the future and her reflections on teaching."
Florida,Rachel Shelley,Univeristy of Florida,SAMUEL PROCTOR ORAL HISTORY PROGRAM: JOEL BUCHANAN ARCHIVE OF AFRICAN AMERICAN ORAL HISTORY,INTERVIEW WITH RACHEL SHELLEY 2015-12-04,https://ufdc.ufl.edu/collections/OHFB/results?q=%22Teacher%22,,,
Florida ,Leona Cooper Baker,HistoryMiami Museum,Stories of Resistance from Black Miami,Leona Cooper Baker - Stories of Resistance from Black Miami,https://www.youtube.com/watch?v=d5enosjy1nc,1940s-1960s,2023,"Leona Cooper Baker, a lifelong resident of Coconut Grove, recounts her experience as a Black teacher during segregation and reflects on her critical work preserving the historical and architectural heritage of her community. Through the Stories of Resistance from Black Miami project, HistoryMiami Museum is collaborating with 20 storytellers to document in-depth oral history interviews that explore the major social and racial justice efforts related to Miami’s diverse Black residents, from the Civil Rights movement to the Black Lives Matter movement."
Florida ,Elizabeth Munnings ,Children's Services Council Palm Beach County ,Palm Beach County African American Oral History Project,,https://c2y.014.myftpupload.com/pbc-oral-history-project-elizabeth-stubbs-munnings/,N/A,N/A,"Elizabeth Stubbs-Munnings was born and raised in West Palm Beach, Florida, in 1926. She became a teacher for the Palm Beach County school district and taught throughout the county. In addition, Ms. Munnings held school administrative positions, such as assistant principal and dean of students. She saw how racism still permeated the integrated schools. During one year of her tenure as assistant principal, she was assigned a closet with no windows as an office. After her years as an educator, she became part of a group called “Save Our Neighborhood.” This group gathered data of the Northwest’s historical value as a neighborhood, and Ms. Munnings went to Tallahassee to present the neighborhood’s value. This information went all the way to Washington, and the neighborhood became the Northwest Historic District. Ms. Munnings was one of the first members of the West Palm Beach Historic Committee."
Florida ,Myrtle Rains ,Children's Services Council Palm Beach County ,Palm Beach County African American Oral History Project,,https://c2y.014.myftpupload.com/pbc-oral-history-project-myrtle-rains/,N/A,N/A,"Myrtle Poole Rains was born in Stuart, Florida, in 1931. She moved to Belle Glade, Florida, in the late 1930s, where she lived alongside her parents and three siblings. After high school, she left for college at Tuskegee University and lived in Mississippi, Kentucky, and Louisiana before moving back to Belle Glade in 1965.  Ms. Rains was an educator her entire life. She had been teaching before desegregation. When schools integrated, white administration questioned her ability to teach and work for whites. Her experience and passion for education helped her get through this transition period. Ms. Rains retired from the Palm Beach County School District in 1992. She became actively involved in her community through volunteer work and local politics. "
Florida ,Allie Howard Biggs ,Children's Services Council Palm Beach County,Palm Beach County African American Oral History Project,,https://c2y.014.myftpupload.com/pbc-oral-history-project-allie-howard-biggs/,N/A,N/A,"Allie Howard Biggs was born in 1940 and moved to Pahokee, Florida, in Palm Beach County at only six months old. She grew up in Pahokee along with three siblings. Ms. Biggs worked as the Supervisor of Transportation for the Palm Beach County School District for 33 years until her retirement. She was also a commissioner for Pahokee from 2002 to 2016, where she worked tirelessly to better the city. She experienced the effects of segregation while growing up and had to stand up for her rights. Ms. Biggs participated in local protests for social justice in Pahokee, which confronted white intimidation against the community of color in Pahokee in the late 40s and early 50s."
Florida ,Estella Harriet Moore,University of Florda ,"Estella Thomas and Harriet Moore
African American History Project (AAHP)",Interview with Estella Moore Harriet Moore 2015-09-04,https://original-ufdc.uflib.ufl.edu/AA00084529/00001,N/A,2015,"Ms. Thomas begins by giving some of her family history and explaining how
her family came to live in Sarasota. She then discusses dropping out of high school to
begin working in a kitchen and then meeting her husband. After marrying her husband,
Mrs. Thomas and her husband began running a grocery store named Moore’s. Ms.
Moore speaks about how tight-knit the community there was and the ways the
community celebrated together and helped each other. She then explains her own
upbringing and education, eventually obtaining a PhD from Argosy. Ms. Moore explains
how she became a principal and leader in the community before describing the
challengers her schools faced in integration with the Black community. The interview
concludes with Ms. Moore describing the importance of her work with youth and
religion"
Georgia,Jewel Walker-Harps,University of Georgia,Oral History Collections,Griffin African American Oral History Project,https://georgiaoralhistory.libs.uga.edu/RBRL418GAA/RBRL418GAA-004,1960s-,2015,"Jean Walker-Harps was born in 1939 and grew up on a farm in Glenville, Georgia. She attended Morris-Brown College and in 1961, she moved to Griffin, Georgia where she worked as a teacher at Fairmont High School. During the Civil Rights Movement, Walker-Harps worked with the NAACP where she held many leadership roles. In this interview, Walker-Harps discusses her upbringing, teaching in segregated and integrated schools, her Civil Rights activism, and her perception of the changes to Griffin over the years."
Georgia,Pearlie Craft Dove,Georgia State University ,Voices Across the Color Line Oral History Recordings,,https://digitalcollections.library.gsu.edu/digital/collection/ggdp/id/5990,1940s -1970s,1992,Pearlie Dove (1921-) was an educator at Clark College (later changed to Clark‑Atlanta University). Among topics discussed: Career in education; Dr. A. A. MacPheeters; Dr. Reese Hughes and National Council for Accreditation of Teacher Education (NCATE); Clark University; Association of Student Teachers; American Association of Colleges; 1970 statement on multicultural education; Phi Delta Kappa; chronology of career at Clark; educational background; Dr. Vivian Wilson Henderson; career opportunities for students; open admissions; cultural activities at the university; school desegregation in Atlanta; preparing student teachers for desegregation; student teaching as an opportunity for new experiences; de facto segregation; the Atlanta Project; teaching associations and the NAACP; Dove's work with Phyllis Wheatley YWCA; black organizations/institutions involvement in politics; June Cofer; Atlanta Journal‑Constitution; Atlanta University Center; Ruby Blackburn; Hattie Rainwater; Georgia League of Women Voters; Negro Cultural League; Myrtle Davis.
Georgia,Pearlie Craft Dove,Emory University,Pearlie Craft Dove,"Oral History interview, Georgia Government Documentation Project, Georgia State University, typescript, April 9, 1992",https://archives.libraries.emory.edu/repositories/7/archival_objects/161378,1958-1996,1992,"The materials relating to The Atlanta Project (1992-1996) consist of minutes, newsletters, proposals, strategic plans, reports, and information on programs and projects
sponsored by the project. Also, the collection contains a videotape from the Washington Cluster of The Atlanta Project."
Georgia,W.L. Callaway,Georgia State University,Georgia State University - Special Collections and Archives,W.L. Callaway oral history interview,https://search.worldcat.org/title/38727041,N/A,1992,"The collection consists of an oral history interview with W.L. ""Bill"" Callaway on October 21, 1992 in which he discusses his family background; Atlanta's demographics; West End; Edmond Asa Ware Elementary School; the roles of Morehouse and Spelman colleges in black education before the opening of Booker T. Washington High School;"
Georgia,J.W. Lemon ,The History Makers,Civic Makers ,J.W. Lemon,https://www.thehistorymakers.org/biography/j-w-lemon-41,1925-1970s,2006,He advocated for the improvement of the County's education system and was instrumental in obtaining better training for teachers in African American schools.
